Rank,Name,Total Registered,Year,Source
1,Perodua Bezza,"100,488",2025,data.gov.my
2,Perodua Axia,"84,291",2025,data.gov.my
3,Perodua Myvi,"72,724",2025,data.gov.my
4,Proton Saga,"70,903",2025,data.gov.my
5,Perodua Alza,"45,534",2025,data.gov.my
6,Perodua Ativa,"38,609",2025,data.gov.my
7,Toyota Vios,"31,776",2025,data.gov.my
8,Toyota Hilux,"28,118",2025,data.gov.my
9,Honda City,"27,107",2025,data.gov.my
10,Proton X50,"26,310",2025,data.gov.my
1,Perodua Bezza,"100,814",2024,data.gov.my
2,Perodua Axia,"88,137",2024,data.gov.my
3,Perodua Myvi,"72,214",2024,data.gov.my
4,Proton Saga,"69,863",2024,data.gov.my
5,Perodua Alza,"44,374",2024,data.gov.my
6,Perodua Ativa,"36,039",2024,data.gov.my
7,Honda City,"29,246",2024,data.gov.my
8,Toyota Vios,"28,667",2024,data.gov.my
9,Toyota Hilux,"26,738",2024,data.gov.my
10,Proton X50,"22,674",2024,data.gov.my
1,Perodua Bezza,"89,265",2023,data.gov.my
2,Perodua Axia,"75,256",2023,data.gov.my
3,Perodua Myvi,"71,155",2023,data.gov.my
4,Proton Saga,"68,020",2023,data.gov.my
5,Perodua Alza,"37,775",2023,data.gov.my
6,Perodua Ativa,"35,542",2023,data.gov.my
7,Honda City,"33,567",2023,data.gov.my
8,Proton X50,"30,981",2023,data.gov.my
9,Toyota Hilux,"27,276",2023,data.gov.my
10,Toyota Vios,"24,553",2023,data.gov.my
1,Perodua Myvi,"74,837",2022,data.gov.my
2,Perodua Bezza,"69,439",2022,data.gov.my
3,Perodua Axia,"59,763",2022,data.gov.my
4,Proton Saga,"53,469",2022,data.gov.my
5,Honda City,"45,369",2022,data.gov.my
6,Proton X50,"39,556",2022,data.gov.my
7,Perodua Ativa,"34,111",2022,data.gov.my
8,Toyota Hilux,"26,899",2022,data.gov.my
9,Perodua Alza,"24,240",2022,data.gov.my
10,Toyota Vios,"23,622",2022,data.gov.my
1,Perodua Myvi,"47,520",2021,data.gov.my
2,Perodua Axia,"43,081",2021,data.gov.my
3,Perodua Bezza,"42,698",2021,data.gov.my
4,Proton Saga,"40,783",2021,data.gov.my
5,Proton X50,"28,462",2021,data.gov.my
6,Perodua Ativa,"26,841",2021,data.gov.my
7,Toyota Vios,"22,052",2021,data.gov.my
8,Honda City,"18,977",2021,data.gov.my
9,Toyota Hilux,"18,150",2021,data.gov.my
10,Proton Persona,"16,140",2021,data.gov.my
1,Perodua Myvi,"66,328",2020,data.gov.my
2,Perodua Axia,"59,651",2020,data.gov.my
3,Perodua Bezza,"56,995",2020,data.gov.my
4,Proton Saga,"45,561",2020,data.gov.my
5,Proton Persona,"23,815",2020,data.gov.my
6,Perodua Aruz,"22,494",2020,data.gov.my
7,Proton X70,"21,704",2020,data.gov.my
8,Honda City,"20,742",2020,data.gov.my
9,Toyota Vios,"20,549",2020,data.gov.my
10,Perodua Alza,"14,691",2020,data.gov.my
